track,country,time,race_name,race_class,handicap_rating,age_class,distance_mls,distance,going,prize,total_runners,winning_time,winning_timevar,total_sp,position,row_index,draw,horse_name,horse_country,price_decimal,price_fraction,price_symbol,horse_age,birth_year,horse_weight,dist_upper,dist_beaten,racecard_number,horse_or,horse_ts,horse_rpr,horse_jockey,horse_trainer,color,sex,sire,dam,damsire,price_var,headgear,wind_12
,,05:20:00,,,,,,,,,,243.00,-5.85,,,,,Belle Image,,151.000,85/40,,,,162.0,39.0000,12.7500,,93.0,51.0,58.0,Connor Beasley,Daniel & Claire Kubler,,,Coastal Path,Azharia,Bishop Of Cashel,op 13/2,,
,,05:30:00,,,,,,,,,,251.91,-5.16,,,,,Bellevarde Express,,201.000,9/1,,,,163.0,40.0000,13.0000,,94.0,52.0,59.0,Connor Brace,David Barron,,,Cokoriko (FR),B Berry Brandy (USA),Blame,op 13/2 and tchd 17/2,,
,,05:40:00,,,,,,,,,,254.20,-5.07,,,,,Benadalid,,251.000,9/2,,,,164.0,47.0000,13.2500,,95.0,53.0,60.0,Conor D Walsh,David Bridgwater,,,Compton Place,Bacherole (IRE),Bluebird,op 13/2 tchd 11/2,,
,,06:00:00,,,,,,,,,,255.92,-4.90,,,,,Best On Stage,,301.000,9/4,,,,165.0,55.0000,13.5000,,96.0,54.0,61.0,Conor Hoban,David Brown,,,Coulsty (IRE),Ballcrina Girl (IRE),Bob Back,op 13/2 tchd 15/2,,
,,06:30:00,,,,,,,,,,262.60,-4.80,,,,,Between The Waters,,,,,,,166.0,61.0000,13.7500,,97.0,55.0,62.0,Conor Maxwell,David C Griffiths,,,Court Cave (IRE),Ballygologue (IRE),Bob's Return,op 13/2 tchd 6/1,,
,,07:00:00,,,,,,,,,,264.50,-4.70,,,,,Bigga Da Betta,,,,,,,168.0,75.0000,14.0000,,98.0,56.0,63.0,Conor McNamara,David Evans,,,Craigsteel,Baltic Belle (IRE),Bravefoot,op 13/2 tchd 9/1,,
,,07:30:00,,,,,,,,,,270.10,-4.58,,,,,Blackcastle Storm,,,,,,,169.0,,14.2500,,99.0,57.0,64.0,Conor O'Farrell,David Flood,,,Crillon (FR),Banksia,Broadway Flyer,op 13/8,,
,,08:00:00,,,,,,,,,,277.00,-4.26,,,,,Blackpoint,,,,,,,,,14.5000,,100.0,58.0,65.0,Conor Orr,David Harry Kelly,,,Curtain Time (IRE),Barrack Star (IRE),Broken Hearted,op 13/8 tchd 5/4,,
,,08:30:00,,,,,,,,,,281.60,-4.23,,,,,Blazing Son,,,,,,,,,14.7500,,101.0,59.0,66.0,Conor Ring,David Loughnane,,,Dandy Man (IRE),Barring Decree (IRE),Byron,op 14/1,,
,,12:45:00,,,,,,,,,,289.40,-3.90,,,,,Blue Battalion,,,,,,,,,15.0000,,102.0,60.0,67.0,Dale Irving,David O'Meara,,,Dansili,Barshiba (IRE),Cacique,op 14/1 and tchd 20/1,,
,,,,,,,,,,,,294.11,-3.78,,,,,Blue Bunny,,,,,,,,,15.2500,,103.0,61.0,68.0,Daniel Holden,David Pipe,,,Dapper,Barter,Cadeaux Genereux,op 14/1 tchd 12/1,,
,,,,,,,,,,,,294.40,-3.60,,,,,Bohenie,,,,,,,,,15.5000,,104.0,62.0,69.0,Daniel Muscutt,David Rees,,,Dark Angel (IRE),Batren's Garden (IRE),Caerleon,op 14/1 tchd 16/1,,
,,,,,,,,,,,,297.30,-3.42,,,,,Boher Lad,,,,,,,,,15.7500,,105.0,63.0,70.0,Daniel Sansom,David Simcock,,,Dawn Approach (IRE),Beach Belle,Califet,op 14/1 tchd 18/1,,
,,,,,,,,,,,,298.25,-3.39,,,,,Boojoom,,,,,,,,,16.0000,,106.0,64.0,71.0,Daniel Tudhope,David Thompson,,,Declaration Of War (USA),Bean Ki Moon (IRE),Camacho,op 14/1 tchd 22/1,,
,,,,,,,,,,,,303.69,-3.29,,,,,Bosca Cheoil,,,,,,,,,16.2500,,107.0,65.0,72.0,Danny McMenamin,David Weston,,,Denham Red (FR),Beauty Is Truth (IRE),Candy Ride,op 14/1 tchd 25/1,,
,,,,,,,,,,,,308.00,-3.26,,,,,Bossipop,,,,,,,,,16.5000,,108.0,66.0,73.0,Darragh O'Keeffe,Dean Ivory,,,Doctor Dino (FR),Bedouin Bride (USA),Cape Cross,op 14/1 tchd 28/1,,
,,,,,,,,,,,,319.20,-2.39,,,,,Bounty Pursuit,,,,,,,,,16.7500,,109.0,67.0,74.0,Daryl Jacob,Debra Hamer,,,Double Eclipse (IRE),Begin The Beguine (IRE),Captain Rio,op 15/2,,
,,,,,,,,,,,,324.10,-1.91,,,,,Brain Power,,,,,,,,,17.0000,,110.0,68.0,75.0,Dave Crosse,Declan Carroll,,,Doyen (IRE),Beldale Memory (IRE),Catcher In The Rye,op 15/2 tchd 13/2,,
,,,,,,,,,,,,330.30,-1.88,,,,,Breaking News,,,,,,,,,17.2500,,111.0,69.0,76.0,David Bass,Denis Coakley,,,Dr Massini (IRE),Belle Blonde (IRE),Cayman Kai,op 15/2 tchd 6/1,,
,,,,,,,,,,,,357.29,-1.74,,,,,Brehon Star,,,,,,,,,17.5000,,112.0,70.0,77.0,David Egan,Derek Frankland,,,Dragon Pulse (IRE),Benefit Ball (IRE),Cee's Tizzy,op 15/2 tchd 7/1,,
,,,,,,,,,,,,360.70,0.83,,,,,Brian Boranha,,,,,,,,,17.7500,,113.0,71.0,78.0,David Noonan,Derek Shaw,,,Dream Ahead (USA),Best Moving (GER),Champs Elysees,op 15/2 tchd 7/1 and tchd 11/1,,
,,,,,,,,,,,,366.12,0.96,,,,,Bridgets Cross,,,,,,,,,18.0000,,114.0,72.0,79.0,David Probert,Dermot Murphy,,,Dream Eater (IRE),Best Tune,Chester House,op 15/2 tchd 7/1 and tchd 9/1,,
